"Player","Season","PosFFA","Team","fantPts_agg","fantPts_est","fantPts_FFA","fantPts_FDATA","fantPts"
"Lawrence Guy",2016,"DL","Bal",52.696849730844,53.9520327950213,51.4416666666666,NA,34.5
"Jamison Crowder",2015,"WR","Was",52.6937383788993,57.9231196149414,47.4643571428572,25.7,131.6
"Keshawn Martin",2014,"WR","Hou",52.6853357370128,62.0762429025971,43.2944285714286,41.9,13.8
"Rashede Hageman",2015,"DL","Atl",52.667888093508,43.6107761870161,61.725,NA,26
"Kj Brent",2018,"WR","Ind",52.6630836293976,52.6630836293976,NA,NA,NA
"Vaughn Martin",2012,"DE","Sdg",52.6615550468648,52.6615550468648,NA,NA,21
"Kadeem Carey",2014,"RB","Chi",52.6587217155676,66.6708189928566,47.1053461538461,44.2,26.5
"Aaron Lynch",2018,"DE","Chi",52.6423513236751,52.6423513236751,NA,NA,NA
"Lance Kendricks",2017,"TE","Gnb",52.6126701476259,61.5681974381089,43.6571428571428,8.2,44.3
"Gary Guyton",2011,"LB","Nwe",52.6113946771337,52.6113946771337,NA,NA,42.75
"Aaron Lynch",2015,"LB","Sfo",52.5603441275513,44.5206882551025,60.6,NA,58.75
"Marcus Stroud",2010,"DE","Buf",52.556752014746,52.556752014746,NA,NA,54.5
"Bradley Marquez",2015,"WR","Lar",52.5296723609115,52.5296723609115,NA,NA,21.8
"Jared Odrick",2014,"DL","Mia",52.5275966528184,52.5275966528184,NA,NA,40
"Cedric Griffin",2012,"CB","Was",52.5007987780768,52.5007987780768,NA,NA,35
"Pierre Garcon",2009,"WR","Ind",52.5,NA,52.5,NA,148.5
"Joshua Cribbs",2010,"WR","Cle",52.4904274561757,31.2808549123515,73.7,NA,65.56
"Kelvin Hayden",2011,"CB","Atl",52.4743914261503,52.4743914261503,NA,NA,30.5
"James Harrison",2015,"LB","Pit",52.4743347447248,33.7986694894497,71.15,NA,59.75
"James Conner",2018,"RB","Pit",52.4545130510001,63.3635391530002,47,47,NA
"Geno Atkins",2014,"DL","Cin",52.4293026940519,52.4293026940519,NA,NA,45
"Jeremiah Ratliff",2010,"NT","Dal",52.4176119782511,52.4176119782511,NA,NA,46.75
"Perrish Cox",2016,"DB","Ten",52.4162445977852,52.1074891955703,52.725,NA,56.25
"Tj Jones",2017,"WR","Det",52.3943834111683,71.49460015567,33.2941666666667,35.7,75.9
"Michael Harris",2013,"CB","Jax",52.3916045413333,52.3916045413333,NA,NA,37
"Nate Irving",2013,"LB","Den",52.3652878743686,52.3652878743686,NA,NA,46
"Michael Brockers",2018,"DT","Lar",52.3627242690108,52.3627242690108,NA,NA,NA
"Kelvin Sheppard",2015,"LB","Mia",52.3529479108961,31.7558958217922,72.95,NA,105
"Shane Ray",2018,"DE","Den",52.3521489650723,52.3521489650723,NA,NA,NA
"David Cobb",2015,"RB","Ten",52.3410735855146,55.3373874232106,55.3858333333333,46.3,21.4
"Braxton Miller",2018,"WR","Hou",52.3387603154288,52.6775206308576,52,52,NA
"Mark Sanchez",2014,"QB","Phi",52.3220895404253,133.06271306572,14.4035555555555,9.5,152.42
"Sedrick Ellis",2011,"DT","Nor",52.2637224165554,52.2637224165554,NA,NA,22.25
"Leodis Mckelvin",2015,"DB","Buf",52.2548395706369,65.3471791412738,39.1625,NA,41.5
"Tyson Alualu",2013,"DE","Jax",52.243626009994,52.243626009994,NA,NA,45.75
"Devin Aromashodu",2012,"WR","Min",52.238798928007,64.8775978560139,39.6,NA,29.2
"Wesley Woodyard",2015,"LB","Ten",52.2369933872641,62.6364867745282,41.8375,NA,89
"Matthew Asiata",2015,"RB","Min",52.2353765132373,85.1544331111404,36.5516964285714,35,43.4
"Kyle Fuller",2017,"DB","Chi",52.2238903665641,52.2238903665641,NA,NA,85.5
"Brett Keisel",2011,"DE","Pit",52.2151380704868,52.2151380704868,NA,NA,63
"Clyde Gates",2011,"","Mia",52.1817778840135,52.1817778840135,NA,NA,4.3
"Michael Devito",2013,"DE","Kan",52.180602754878,52.180602754878,NA,NA,25.5
"Damon Harrison",2016,"DL","Nyg",52.1780398928944,51.7644131191222,52.5916666666666,NA,85.25
"Justin Hardy",2015,"WR","Atl",52.1721760295365,42.3150306305017,62.0293214285714,68.1,40.4
"Ndamukong Suh",2014,"DL","Det",52.1549861935376,52.1549861935376,NA,NA,84.25
"Dwan Edwards",2010,"DE","Buf",52.1510511833073,52.1510511833073,NA,NA,55.25
"Aj Klein",2017,"LB","Nor",52.1196416527853,36.9392833055707,67.3,NA,59.5
"Dion Lewis",2015,"RB","Nwe",52.1195034545783,32.783510363735,70.675,52.9,120.2
"Dee Ford",2018,"DE","Kan",52.1193976235859,52.1193976235859,NA,NA,NA
"Aqib Talib",2018,"DB","Lar",52.1093095914717,52.1093095914717,NA,NA,NA
"Malik Jackson",2017,"DL","Jax",52.1029304809312,49.372527628529,54.8333333333333,NA,72
"Jake Butt",2018,"TE","Den",52.0971443176862,54.4942886353725,49.7,49.7,NA
"Bennie Logan",2016,"DL","Phi",52.086701824035,50.4900703147367,53.6833333333334,NA,45.25
"Jacquies Smith",2015,"DL","Tam",52.0556482147223,47.2929630961113,56.8183333333333,NA,53.5
"Malik Jackson",2018,"DT","Jax",52.0501130435016,52.0501130435016,NA,NA,NA
